CZ,EN,methods [Roman/Adam],locs applicability,times applicability,
"Změň chuť v ústech. Vezmi do ruky kartáček, vytlač na něj pastu a začni si pomalu, důkladně čistit zuby… Přece si je potom nezašpiníš kouřem!","Change the taste in your mouth. Take a toothbrush, put some paste on it and start cleaning your teeth slowly and properly...You don't want to foul them with smoke after that, do you? ",Change of taste,,,
"Nalej si do sklenice vodu, džus nebo limonádu. Pomalu se napij. Soustřeď se na každý doušek. Tekutiny uklidňují. Vypij to do dna...","Pour yourself a glass of water, juice or lemonade. Drink slowly and focus on each sip. Fluids can calm you down. Finish the whole drink. ",Stimulate mouth,,,
"Změň chuť v ústech. Vezmi si mentolovou žvýkačku nebo bonbon. Vnímej, jak se jejich chuť rozplývá a šíří…",Change the taste in your mouth. Take a mint chewing gum or a candy. Taste how its flavour melts and fills your mouth...,Change of taste,,,
"Pěkně po anglicku: což si dát šálek čaje? Mátový, meduňkový nebo heřmánkový mírní napětí, které první dny abstinence zcela přirozeně provází.","What about having a cup of tea like the English do? Mint, melissa or chamomile tea reduces tension which is common during the first few days of smoking abstinence.",Reduce stress,,,
"Zavři oči, nosem se zhluboka nadechni, ústy pomalu vydechni. Jednou, dvakrát, desetkrát. Klidný dech zklidní stres.","Close your eyes, take a deep breath. Then slowly let the breath out, exhaling through your mouth. Once, twice, ten times. Calm breathing reduces stress. ",Relaxation,,,
"Dej si něco k snědku. Malého, ale dobrého. Připrav si své oblíbené jídlo a v klidu si na něm pochutnej.",Have a bite. Have something small but tasty. Prepare your favourite meal and take time to enjoy it. ,Change of taste,,,
"Rozpumpuj tělo, vyčistíš si hlavu. Vyběhni a seběhni nejbližší schody, udělej několik dřepů/kliků, vydýchej se, pochval se.","Pumping your body up will clean your head. Run up and down the nearest stairs, do several squats or push-ups, breathe and praise yourself.",Physical activity,,,
"Pusť si oblíbenou písničku, ponoř se do její melodie, soustřeď se na jednotlivé nástroje. Přidat drobnou taneční kreaci? Jasně!","Listen to your favourite song, immerse yourself in the tune and focus on the individual instruments. Feel like adding your favourite dance moves? Go ahead!",Distract mind,,,
"Všichni kolem kouří a ty nevíš, co s rukama? Drž se mobilu, otevři oblíbenou hru a rozjeď to, až se i z tebe bude kouřit.","Everybody around you is smoking and you don't know what to do with your hands? Grab your phone, open your favourite game, dive in it and forget about the world.",Occupy hands,,,
"K čemu jsou přátelé, když ne k pomoci v nouzi? Pošli jim zprávu z bojiště, vymysli společnou akci anebo je prostě pozdrav.","You can get over it with a little help of your friends. Text them, plan a collective event or just say hi.",Share emotions,,,
"Skoč na Instagram a podívej se, co pěkného kdo přidal ke tvým oblíbeným tématům. Přenes svou pozornost, zabav se.","Check Instagram for your favourite channels update. Draw your attention to something else, keep yourself occupied.",Distract mind,,,
"Posaď se do klidné místnosti, nadechni se, zavři oči a přenes se v myšlenkách na oblíbené místo. Představ si obrazy, zvuky, vůně…","Sit down in a quite room, take a breath, close your eyes and visualise yourself in your favourite place. Imagine sights, sounds, smells...",Relaxation,,,
